pdf,page,hs_code,description
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,13,0708.90.15,"00 Lentils. kg. 0.1c/kg Free (A, AU, BH, CL, 1.1c/kg CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) Pigeon peas:"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,13,0708.90.25,"00 If entered during the period from July 1 to September 30, inclusive, in any year. kg. Free 8.6c/kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,13,0708.90.30,"00 Other. kg. 0.8c/kg Free (A, AU, BH, 8.6c/kg CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,13,0708.90.40,"00 Other. kg. 4.9c/kg Free (A+, AU, BH, 7.7c/kg CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SGI"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,13,0709,"Other vegetables, fresh or chilled:"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,13,0709.20,Asparagus:
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,13,0709.20.10,"Not reduced in size, entered during the period from September 15 to November 15, inclusive, in any year, and transported to the United States by air. 5%1/ Free (A, AU, BH, CL, 50% CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) 10 White. kg 90 Other. kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,13,0709.20.90,"Other. 21.3%1/ Free (A+, AU, BH, 50% CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) 10 White. kg Other: 40 Certified organic. kg 70 Other. kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,14,0709,"(con.) Other vegetables, fresh or chilled: (con.)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,14,0709.30,Eggplants (aubergines): If entered during the period from April 1 to November
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,14,0709.30.20,"30, inclusive, in any year. 2.6c/kg Free (A, AU, BH, CL, 3.3c/kg CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) 20 Chinese. kg 40 Italian. kg 60 Other. kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,14,0709.30.40,"Other. 1.9c/kg Free (A, AU, BH, CL, 3.3c/kg KR, MA, OM, P, PA, PE, S, SG) 20 Chinese. kg 40 Italian. kg 60 Other. kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,14,0709.40,"Celery other than celeriac: Reduced in size. kg 14.9%2 Free (AU, BH, CL, 35% CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) Other:"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,14,0709.40.40,"If imported and entered during the period from April 15 to July 31, inclusive, in any year. 0.25c/kg2 Free (A, AU, BH, CL, 4.4c/kg CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) 20 Certified organic. kg 40 Other. kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,14,0709.40.60,"Other. kg 1.9c/kg2 Free (AU, BH, CL, 4.4c/kg CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) 20 Certified organic. kg 40 Other. kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,15,0709,"(con.) Other vegetables, fresh or chilled: (con.) Mushrooms and truffles:"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,15,0709.51.01,"00 Mushrooms of the genus Agaricus. kg. 8.8c/kg + 20%2 Free (A+, AU, BH, 22c/kg + 45% CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,15,0709.52.05,"00 Mushrooms of the genus Boletus. kg. 8.8c/kg + 20%2 Free (A+, AU, BH, 22c/kg + 45% CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,15,0709.53.00,"00 Mushrooms of the genus Cantharellus. kg. 8.8c/kg + 20%2 Free (A+, AU, BH, 22c/kg + 45% CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,15,0709.54.00,"00 Shiitake (Lentinus edodes). kg. 8.8c/kg + 20%2 Free (A+, AU, BH, 22c/kg + 45% CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,15,0709.55.00,"00 Matsutake (Tricholoma matsutake, Tricholoma magnivelare, Tricholoma anatolicum, Tricholoma dulciolens, Tricholoma caligatum). kg. 8.8c/kg + 20%2 Free (A+, AU, BH, 22c/kg + 45% CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,15,0709.56.00,00 Truffles (Tuber spp.). kg. Free2 Free
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,15,0709.59,Other:
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,15,0709.59.11,00 Truffles. kg. Free2 Free
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,15,0709.59.91,"00 Other. kg. 8.8c/kg + 20%2 Free (A+, AU, BH, 22c/kg + 45% CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,16,0709,(con.) General Special
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,16,0709.60,
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,16,0709.60.20,
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,16,0709,"(con.) Other vegetables, fresh or chilled: (con.) Fruits of the genus Capsicum (peppers) or of the genus Pimenta (e.g., allspice): Chili peppers. 4.4c/kg2 Free (A, AU, BH, CL, CO, D, E, IL, JO, 5.5c/kg KR, MA, OM, P, PA, PE, S, SG) 10 Greenhouse. kg Other: 20 Jalapeno. kg 30 Mini sweet peppers. kg 40 Anaheim. kg 50 Poblano. kg 60 Serrano. kg 70 Other. kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,17,0709.0709.60.0709.60,"Other vegetables, fresh or chilled: (con.) Fruits of the genus Capsicum (peppers) or of the genus Pimenta (e.g., allspice): (con.) Other"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,17,70.00,"Greenhouse: Sweet bell-type peppers (Capsicum annum): Certified organic: Green kg Red kg Yellow kg Orange kg Other kg Other: Sweet bell-type peppers (Capsicum annum): Certified organic: Green kg Red kg Yellow kg orange kg Other kg Other: Of a kind for processing as described in statistical note 3 to this chapter kg Other: Green kg Red kg Yellow kg Orange kg Other kg Spinach, New Zealand spinach and oracle spinach (garden spinach) kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,19,0709,"(con.) Other vegetables, fresh or chilled: (con.) Other:(con.)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,19,0709.99,Other:
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,19,0709.99.05,"00 Jicamas, and breadfruit. kg. 11.3%2 Free (A, AU, BH, CL, 50% CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,19,0709.99.10,"00 Chayote (Sechium edule) kg. 5.6%2 Free (A, AU, BH, CL, 50% CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,19,0709.99.14,"00 Okra. kg. 20%2 Free (A, AU, BH, CL, 50% CO, D, E, IL, JO, KR, MA,OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,19,0709.99.30,"00 Fiddleneck greens. kg. 8%2 Free (A+, AU, BH, 20% CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,19,0709.99.45,"00 Sweet corn. kg. 21.3%2 Free (AU, BH, CL, 50% CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,19,0709.99.90,"Other. 20%2 Free (A+, AU, BH, 50% CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) 05 Bitter melon (Momordica charantia). kg 10 Cilantro. kg 30 Cactus leaves. kg 85 Other. kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,20,0710,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen:"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,20,0710.10.00,"00 Potatoes kg 14%2/ Free (A, AU, BH, CL, 35% CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) Leguminous vegetables, shelled or unshelled:"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,20,0710.21,Peas (Pisum sativum):
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,20,0710.21.20,"00 If entered during the period from July 1 to September 30, inclusive, in any year kg 1€/kg2/ Free (A, AU, BH, CL, 8.6€/kg CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,20,0710.21.40,"00 Other kg 2€/kg2/ Free (A, AU, BH, CL, 8.6€/kg CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,20,0710.22,"Beans (Vigna spp., Phaseolus spp.): Not reduced in size: Lima beans:"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,20,0710.22.10,"00 If entered during the period from November 1 in any year to the following May 31, inclusive kg 2.3€/kg2/ Free (A, AU, BH, CL, 7.7€/kg CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,20,0710.22.15,"00 Other kg 4.9€/kg2/ Free (A, AU, BH, CL, 7.7€/kg CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,20,0710.22.20,"00 Cowpeas (other than black-eye peas) kg Free2/ Free (A, AU, BH, CL, 7.7€/kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,20,0710.22.25,"00 String beans (snap beans) kg 4.9€/kg2/ CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,20,0710.22.37,"00 Other kg 4.9€/kg2/ Free (A+, AU, BH, 7.7€/kg CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,20,0710.22.40,"Reduced in size 11.2%2/ Free (A, AU, BH, CL, 35% CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) 10 Green and wax kg 90 Other kg ```"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,21,0710,"(con.) Vegetables (uncooked or cooked by steaming or boiling in water),frozen:(con.) Leguminous vegetables,shelled or unshelled:(con.)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,21,0710.29,Other:
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,21,0710.29.05,"00 Chickpeas (garbanzos)...... kg...... 1c/kg2 Free (A,AU,BH,CL, 4.4c/kg KR,MA,OM,P, PA,PE,S,SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,21,0710.29.15,"00 Lentils...... kg...... 0.1c/kg1 Free (A,AU,BH,CL, 1.1c/kg CO,D,E,IL,JO, KR,MA,OM,P, PA,PE,S,SG) Pigeon peas:"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,21,0710.29.25,"00 If entered during the period from July 1 to September 30, inclusive, in any year...... kg...... Free2 8.6c/kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,21,0710.29.30,"Other...... kg...... 0.8c/kg2 Free (A,AU,BH, 8.6c/kg CL,CO,D,E,IL, JO,KR,MA,OM, P,PA,PE,S,SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,21,0710.29.40,"00 Other...... kg...... 3.5c/kg2 Free (A+,AU,BH, 7.7c/kg CL,CO,D,E,IL, JO,KR,MA,OM, P,PA,PE,S,SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,21,0710,"30.00 00 Spinach, New Zealand spinach and oracle spinach (garden spinach)...... kg...... 14%2 Free (A,AU,BH,CL, 35% CO,D,E,IL,JO, KR,MA,OM,P, PA,PE,S,SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,21,0710.40.00,"00 Sweet corn...... kg...... 14%2 Free (A+,AU,BH, 35% CL,CO,D,E,IL, JO,KR,MA,OM, P,PA,PE,S,SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,22,0710,"(con.) Vegetables (uncooked or cooked by steaming or boiling in water), frozen: (con.)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,22,0710.80,Other vegetables:
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,22,0710.80.15,"00 Bamboo shoots and water chestnuts, other than Chinese water chestnuts. kg. Free2/ 35%"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,22,0710.80.20,"00 Mushrooms. kg. 5.7c/kg + 8%2/ Free (A+, AU, BH, 22c/kg + 45% CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) Tomatoes:"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,22,0710.80.40,"00 If entered during the period from March 1 to July 14, inclusive, or the period from September 1 to November 14, inclusive, in any year. kg. 2.9c/kg2/ Free (AU, BH, CL, 6.6c/kg CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,22,0710.80.45,"00 If entered during the period from July 15 to August 31, inclusive, in any year. kg. 2.1c/kg2/ Free (A+, AU, BH, 6.6c/kg CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,22,0710.80.50,"00 If entered during the period from November 15 in any year to the last day of the following February, inclusive. kg. 2.1c/kg2/ Free (A, AU, BH, 6.6c/kg CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,23,0710,"(con.) Vegetables (uncooked or cooked by steaming or boiling in water), frozen: (con.)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,23,0710.80,Other vegetables: (con.) (con.) Other: Not reduced in size:
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,23,0710.80.60,"00 Fiddlehead greens. kg. 8%1/ Free (A+, AU, BH, 50% CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,23,0710.80.65,"00 Brussels sprouts. kg. 12.5%2/ Free (A, AU, BH, 50% CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE,S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,23,0710.80.70,"Other. 11.3%2/ Free (A, AU, BH, 50% CL, CO, D, E, IL, JO, KR, MA,OM, P, PA, PE, S, SG) 40 Carrots. kg 60 Other. kg Reduced in size:"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,23,0710.80.85,"00 Brussels sprouts. kg. 14%1/ Free (A+, AU, BH, 35% CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,23,0710.80.93,"00 Okra. kg. 14.9%2/ Free (A, AU, BH, 35% CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE,S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,23,0710.80.97,"Other. 14.9%2/ Free (A+, AU, BH, 35% CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) 10 Asparagus. kg Broccoli: 22 Spears. kg Other: 24 In containers each holding more than 1.4 kg. kg 26 Other. kg 30 Cauliflower. kg 55 Garlic, reduced in size beyond the clove, whether or not individually quick frozen... kg 65 Other. kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,24,0710.0710,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen: (con.) Mixtures of vegetables: Mixtures of pea pods and water chestnuts, other than Chinese water chestnuts. kg 7.9%2/ Free (A, AU, BH, CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) Other kg 14%2/ Free (A, AU, BH, CL, CO, D, E, IL, JO, KR, MA, OM, PA, PE, S, SG) Vegetables provisionally preserved, but unsuitable in that state for immediate consumption: Olives: Not pitted: Green in color, in a saline solution, in containers each holding more than 8 kg, drained weight, certified by the importer to be used for repacking or sale as green olives: Described in additional U.S. note 5 to this chapter and entered pursuant to its provisions kg 3.7¢/kg on drained weight1/ Free (A*, AU, BH, CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) Other kg 5.9¢/kg on drained weight1/ Free (AU, BH, CL, CO, IL, JO, KR, MA, OM, P, PA, PE, S, SG) Other kg 5 .9¢/kg on drained weight1/ Free (A+, AU, BH, CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) Pitted or stuffed kg 8.6¢/kg on drained weight1/ Free (A+, AU, BH, CL, CO, D, E, IL, JO, KR,M A, OM, P, PA, PE, S, SG) Cucumbers including gherkins kg 7.7%2/ Free (A, AU, BH, CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) Mushrooms and truffles: Mushrooms of the genus Agaricus kg 5.7¢/kg on drained weight + 8%2/ Free (A+, AU, BH, CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) Other: Mushrooms kg 5.7¢/kg on drained weight +8%2/ Free (A+, AU, BH, CL, CO, D, E, IL, JO, KR, MA, OM P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,25,0711,"(con.) Vegetables provisionally preserved, but unsuitable in that state for immediate consumption: (con.)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,25,0711.90,Other vegetables; mixtures of vegetables:
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,25,0711.90.20,00 Leguminous vegetables. kg...... Free2/ 6.6c/kg
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,25,0711.90.30,"00 Capers. kg...... 8%1/ Free (A, AU, BH, CL, 20% CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,25,0711.90.50,"00 Onions. kg...... 5.1%2/ Free (A, AU, BH, CL, 35% CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,25,0711,".90.65 00 Other vegetables; mixtures of vegetables. kg...... 7.7%2/ Free (A, AU, BH, CL, 35% CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,25,0712,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared:"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,25,0712.20,Onions:
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,25,0712.20.20,"00 Powder or flour. kg...... 29.8%2/ Free (AU, BH, CL, 35% CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,25,0712.20.40,"00 Other. kg...... 21.3%2/ Free (AU, BH, CL, 35% CO, D, E, IL, JO, KR, MA, OM, p, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,26,31.82,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared: (con.) Mushrooms, wood ears (Auricularia spp.), jelly fungi (Tremella spp.) and truffles: Mushrooms of the genus Agaricus: Air dried or sun dried kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,26,31.10,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared: (con.) Mushrooms, wood ears (Auricularia spp.), jelly fungi (Tremella spp.) and truffles: Mushrooms of the genus Agaricus: Air dried or sun dried kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,26,0712.32.00,Wood ears (Auricularia spp.) kg
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,26,0712.33.00,Jelly fungi (Tremella spp.) kg
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,26,34.10,Shiitake (Lentinus edodes): Air dried or sun dried kg
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,26,0712.34.20,Other kg
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,26,0712.39,Other: Mushrooms: Air dried or sun dried kg
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,26,0712.39.11,Other: Mushrooms: Air dried or sun dried kg
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,26,0712.39.21,Other kg
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,26,0712.39.40,Truffles kg
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,27,0712,"(con.) Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared: (con.)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,27,0712.90,Other vegetables; mixtures of vegetables:
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,27,0712.90.10,"00 Carrots. kg. 1.3%2 Free (A, AU, BH, 35% CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) Olives:"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,27,0712.90.15,"00 Not ripe. kg. 5.5c/kg2 Free (A, AU, BH, 5.5c/kg CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,27,0712.90.20,"00 Ripe. kg. 2.5c/kg2 Free (A+, AU, BH, 11c/kg CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SGi"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,27,0712.90.30,"00 Potatoes whether or not cut or sliced but not further prepared. kg. 2.3c/kg2 Free (A, AU, BH, 6c/kg CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,27,0712.90.40,"Garlic. 29.8%2 Free (AU, BH, CL, 35% CO, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) 20 Powder or flour. kg 40 Other. kg Fennel, marjoram, parsley, savory and tarragon:"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,27,0712.90.60,00 Crude or not manufactured. kg. Free2 Free Other:
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,27,0712.90.65,"00 Parsley. kg. 3.8%2 Free (A, AU, BH, 20% CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) Other. kg. 1.9%2 Free (A, AU, BH, 25% CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) Tomatoes:"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,27,0712.90.74,"00 In powder. kg. 8.7%2 Free (A, AU, BH, 35% CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,27,0712.90.78,"00 Other. kg. 8.7%2 Free (A+, AU, BH, 35% CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE,S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,28,0712.0712.90.0712.90,8.3%2/
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,29,0713,"(con.) Dried leguminous vegetables, shelled, whether or not skinned or split: (con.) Beans (Vigna spp., Phaseolus spp.):"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,29,0713.31,Beans of the species Vigna mungo (L.) Hepper or Vigna radiata (L.)Wilczek:
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,29,0713.31.10,"00 Seeds of a kind used for sowing... kg 0.8c/kg Free (A, AU, BH, CL, 13.2c/kg CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) Other:"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,29,0713.31.20,"00 If entered for consumption during the period from May 1 to August 31, inclusive, in any year... kg Free 6.6c/kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,29,0713.31.40,"00 If entered for consumption outside the above stated period, or if withdrawn for consumption at any time... kg 0.3c/kg Free (A, AU, BH, CL, 6.6c/kg CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,29,0713.32,Small red (adzuki) beans (Phaseolus or Vigna angularis):
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,29,0713.32.10,"00 Seeds of a kind used for sowing... kg 1.5c/kg Free (A, AU, BH, CL, 13.2c/kg CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,29,0713.32.20,"00 Other... kg 1.2c/kg Free (A, AU, BH, CL, 6.6c/kg CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,31,0713,"(con.) Dried leguminous vegetables, shelled, whether or not skinned or split: (con.) Beans (Vigna spp., Phaseolus spp.): (con.)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,31,0713.39,Other:
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,31,0713.39.11,"Seeds of a kind used for sowing. 1.5c/kg Free (A, AU, BH, 13.2c/kg CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) 10 Cranberry beans. kg 90 Other. Other:"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,31,0713.39.21,"If entered for consumption during the period from May 1 to August 31, inclusive, in any year. 0.8c/kg Free (A, AU, BH, 6.6c/kg CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) 10 Black beans. kg 20 Great Northern beans. kg 30 Baby lima beans. kg 40 Other lima beans. kg 50 Pinto beans. kg 60 Other white beans. kg 70 Other. kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,31,0713.39.41,"If entered for consumption outside the above stated period, or if withdrawn for consumption at any time. 0.8c/kg Free (A, AU, BH, 6.6c/kg CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) 10 Black beans. kg 20 Great Northern beans. kg 30 Baby lima beans. kg 40 Other lima beans. kg 50 Pinto beans. kg 60 Other white beans. kg 70 Other. kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,32,0713,"(con.) Dried leguminous vegetables, shelled, whether or not skinned"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,32,0713.40,Lentils: or split: (con.)
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,32,0713.40.10,"00 Seeds of a kind used for sowing. kg. 1.5c/kg Free (A, AU, BH, CL, CO, D, E, IL, JO, 13.2c/kg KR, MA, OM, P, PA, PE, S, SG)"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,32,0713.40.20,"Other. 0.15c/kg Free (A, AU, BH, CL, 1.1c/kg CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) Green lentils, including French green (dark speckled): 15 Certified organic. kg 20 Other. kg Red: 35 Certified organic. kg 50 Other. kg Other: Certified organic. kg 85 Other. kg"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,32,0713.50,Broad beans (Vicia faba var. major) and horse beans (Vicia faba var. equina and Vicia faba var. minor):
